1201,1184.4,1175.3,1181.2,1213.3,1297.3,1462.3,1578,1585.9,1591.1,1586.2,1552.1,1536.4,1553.3,1560.1,1593.5,1663.5,1761.5,1778.6,1755.9,1700.7,1603.2,1494.9,1403.5
1779.1,1741.6,1719.3,1721.2,1777.7,1928.5,2155.3,2263.2,2258.3,2284.3,2305.5,2305.8,2294.3,2300.5,2300.1,2297.1,2351.5,2472,2514.4,2479.5,2419.4,2312.2,2165.4,2092
535.3,458.2,523.3,520.2,532.2,580.2,643.2,702.9,715.7,725,728,718.1,715.2,710.6,712.5,725.2,746.7,797.9,818.1,808.3,782.3,746.7,684.1,628.3
1048.3,1021.6,1010.1,1012.6,1042.1,1125.9,1241,1306.3,1316.8,1337.3,1349.5,1352.8,1355.9,1358.6,1351.9,1351.8,1374.5,1442.9,1469,1445.1,1406.2,1324.5,1228.9,1149.7
950.2,916.5,902.8,904.9,922,987.3,1100.8,1170.1,1194.7,1200.3,1180.1,1160.5,1170,1191.7,1196.8,1218.5,1273.4,1367.5,1389.4,1378.9,1350,1281.1,1196.3,1114.5
1975.1,1909.6,1874.9,1871.5,1913.1,2042.7,2263.2,2419.1,2493.7,2558.6,2593.6,2576.5,2528.8,2501.4,2477.6,2514.2,2627.9,2839.5,2896.1,2851.5,2768.9,2621.2,2426.3,2231.4
834.9,810.3,802.8,815,845.3,923.4,1051.5,1123.2,1118.6,1121,1131.9,1133.6,1128.8,1135.2,1136.2,1143.6,1169.3,1218.7,1244.2,1244.6,1215.9,1158.6,1086.1,1027.5
263.5,263.6,258,259.8,269.2,298.1,335,359,370,366.3,354.6,346.1,344.4,347.9,353.9,358.6,374,408.7,427,424.1,414.7,392.8,367,336.3
4940.4,4813.4,4629.4,4593.5,4653.9,4932.5,5483.6,6040.7,6365.5,6575.7,6631.8,6641.9,6652.1,6633.2,6591.3,6619.2,6710.5,6919.8,6872.3,6764.1,6601,6385.4,6046.3,5631.9
578.9,576.5,574.7,576.9,581.5,598.8,633.6,650.4,643.7,638.3,632.5,611.5,623.8,605.4,605.6,591.6,626.6,653.6,653.5,650.5,643,630.8,614.1,603.1
1691.3,1662,1640.9,1637.7,1669.6,1761.1,1917,2018.1,2039.8,2068,2078.8,2078.7,2065.7,2062.3,2059.7,2034.4,2050.8,2126.5,2196.9,2181.9,2150.2,2065.7,1968.8,1848.3
